Step;Time[fs];Kin.[a.u.];Temp[K];Pot.[a.u.];Cons Qty;Used time
0;0;0.180983497;300;-1.078061747;-0.89707825;0
1;2;0.121293345;201.0570245;-1.102842175;-0.981563064;0.074365816
2;4;0.123078796;204.0166064;-1.105214569;-0.981601097;0.024284615
3;6;0.133561456;221.3927644;-1.112484326;-0.981711287;0.023844536
4;8;0.146926045;243.5460373;-1.12300948;-0.981869732;0.023588518
5;10;0.157170461;260.5272801;-1.13419425;-0.982035233;0.022878523
6;12;0.167817185;278.175394;-1.14351521;-0.982155332;0.021741408
7;14;0.169482804;280.9363393;-1.14916488;-0.982189528;0.022400354
8;16;0.167754484;278.0714607;-1.150781368;-0.982142365;0.02998237
9;18;0.167026023;276.8639554;-1.14927428;-0.98205103;0.023308393
10;20;0.164935538;273.3987484;-1.145918785;-0.981953492;0.024078331
11;22;0.161278152;267.3362285;-1.142006914;-0.981878162;0.024896758
12;24;0.158988566;263.5409886;-1.138617909;-0.981840878;0.024430948
13;26;0.157329337;260.7906347;-1.136227388;-0.981837794;0.02544715
14;28;0.157616653;261.2668932;-1.13483302;-0.981849936;0.025140113
15;30;0.15988966;265.034652;-1.134149576;-0.981854602;0.033858962
16;32;0.159310621;264.0748305;-1.133990277;-0.981840323;0.025083687
17;34;0.160908297;266.7231547;-1.134499614;-0.981816567;0.024139256
18;36;0.163303017;270.6926653;-1.135972276;-0.981807492;0.024049376
19;38;0.165194163;273.8274465;-1.138520324;-0.981834862;0.024708213
20;40;0.169471113;280.9169612;-1.141759028;-0.981898115;0.025749351
21;42;0.170469012;282.5710887;-1.144761928;-0.981968228;0.033015823
22;44;0.172760635;286.3697046;-1.146596573;-0.982006793;0.024568667
23;46;0.172812305;286.455353;-1.146779792;-0.981992589;0.024300856
24;48;0.170630795;282.8392615;-1.145519448;-0.981931041;0.023820032
25;50;0.170302181;282.2945472;-1.143660879;-0.98185014;0.023168185
26;52;0.17143;284.1640313;-1.142293587;-0.981786179;0.024450342
27;54;0.173717425;287.9556889;-1.14231135;-0.981765266;0.033082503
28;56;0.175469163;290.8593868;-1.143994443;-0.981791992;0.024305991
29;58;0.179809701;298.054305;-1.146923548;-0.981853408;0.024336017
30;60;0.18263624;302.7396028;-1.150180055;-0.981928595;0.024195761
31;62;0.18137182;300.643689;-1.152663877;-0.981993477;0.021675561
32;64;0.185210065;307.0060008;-1.153515483;-0.982025163;0.021701356
33;66;0.186824824;309.6826403;-1.152270678;-0.98201082;0.028964816
34;68;0.184267396;305.4434225;-1.149022517;-0.981957152;0.021907691
35;70;0.17949343;297.5300513;-1.144470362;-0.9818852;0.022640817
36;72;0.174061116;288.5253939;-1.139713593;-0.981817492;0.023893191
37;74;0.168468224;279.254563;-1.135777716;-0.98177055;0.022319206
38;76;0.166568435;276.1054537;-1.133403589;-0.981753821;0.021677199
39;78;0.168917522;279.9993232;-1.132814922;-0.981767506;0.032526069
40;80;0.170632164;282.8415304;-1.133727933;-0.981803723;0.025123561
41;82;0.173455464;287.5214594;-1.135459341;-0.981849041;0.024064593
42;84;0.173301571;287.2663653;-1.137258069;-0.981889253;0.024841989
43;86;0.174813624;289.7727596;-1.138563176;-0.981915424;0.023776333
44;88;0.174789562;289.7328735;-1.138949587;-0.981922203;0.024195242
45;90;0.176202313;292.0746626;-1.138315489;-0.981907297;0.0230738
46;92;0.17538718;290.7234904;-1.136837626;-0.981870531;0.033583191
47;94;0.174667206;289.5300555;-1.13502728;-0.981820037;0.025003095
48;96;0.175519495;290.942817;-1.133591661;-0.981775643;0.024440769
49;98;0.176234472;292.1279698;-1.133056703;-0.981756905;0.023874416
50;100;0.176493322;292.5570418;-1.13357928;-0.981771143;0.022533602
51;102;0.178336542;295.6123813;-1.1349312;-0.981808216;0.023026995
52;104;0.180677283;299.492417;-1.13656042;-0.981847179;0.030261879
53;106;0.184331978;305.5504747;-1.137820188;-0.981867243;0.024186228
54;108;0.184711197;306.1790713;-1.138354499;-0.981858581;0.023705353
55;110;0.183911094;304.852813;-1.138270382;-0.981826865;0.023008267
56;112;0.185865491;308.0924413;-1.137952313;-0.981789739;0.023294076
57;114;0.187630854;311.0187237;-1.137781927;-0.98176858;0.023788759
58;116;0.18768807;311.113565;-1.137933222;-0.981776634;0.03155427
59;118;0.186683191;309.4478686;-1.13823778;-0.981808641;0.022501039
60;120;0.18623677;308.7078771;-1.13823741;-0.981843622;0.023383372
61;122;0.187310081;310.4870067;-1.137459757;-0.981857476;0.023933065
62;124;0.184443458;305.7352654;-1.135690335;-0.98183959;0.024437914
63;126;0.184211447;305.350681;-1.133146233;-0.981798954;0.024145759
64;128;0.182175597;301.9760374;-1.13037188;-0.981753571;0.031872719
65;130;0.177215837;293.7546905;-1.128053413;-0.981719873;0.024239484
66;132;0.173473643;287.5515933;-1.126846398;-0.981710229;0.023142706
67;134;0.173475552;287.554758;-1.126977707;-0.981730197;0.025631229
68;136;0.179488675;297.5221682;-1.128144909;-0.981774295;0.023740287
69;138;0.178524769;295.9243896;-1.129629771;-0.981823412;0.025533391
70;140;0.181886975;301.4976136;-1.130695483;-0.981851124;0.057462567
71;142;0.183775055;304.6273131;-1.130931949;-0.981844094;0.029680504
72;144;0.182804889;303.0191575;-1.130329078;-0.981807417;0.025480878
73;146;0.182541909;302.5832392;-1.129447917;-0.98175995;0.023017793
74;148;0.179042119;296.781954;-1.129079563;-0.981720264;0.023707866
75;150;0.182571695;302.6326134;-1.129878295;-0.98170193;0.021947782
76;152;0.184625406;306.0368638;-1.132117263;-0.981714698;0.022051319
77;154;0.187081381;310.1079113;-1.135653956;-0.981763853;0.029241228
78;156;0.194393574;322.2286747;-1.13983928;-0.981846292;0.022948834
79;158;0.198264383;328.644964;-1.143361851;-0.981939544;0.024464083
80;160;0.19742805;327.2586502;-1.144835417;-0.982007806;0.022729427
81;162;0.197647558;327.6225089;-1.143310731;-0.982014152;0.023362736
82;164;0.190351619;315.5286909;-1.138754947;-0.981945987;0.023504414
83;166;0.185924442;308.190159;-1.132285351;-0.981826339;0.031178224
84;168;0.181693668;301.1771871;-1.125562068;-0.981700837;0.025260692
85;170;0.176539619;292.6337856;-1.120404148;-0.981617334;0.024967664
86;172;0.17164623;284.5224554;-1.11806621;-0.981598187;0.024313196
87;174;0.171964253;285.049614;-1.118899132;-0.981637256;0.022892712
88;176;0.173996521;288.4183218;-1.122431843;-0.98171713;0.023553723
89;178;0.177827375;294.7683825;-1.127623623;-0.981819349;0.023475386
90;180;0.18525561;307.0814955;-1.133083073;-0.981918173;0.032821889
91;182;0.18678793;309.6214845;-1.137410948;-0.981980567;0.02484694
92;184;0.186288273;308.7932486;-1.139844391;-0.981986506;0.025295856
93;186;0.189857584;314.7097722;-1.140472272;-0.981941261;0.02474333
94;188;0.190223532;315.3163724;-1.139909481;-0.981866772;0.02478381
95;190;0.189915088;314.8050915;-1.13917886;-0.981797982;0.024472425
96;192;0.188789516;312.9393334;-1.139291964;-0.981767548;0.024766767
97;194;0.188925739;313.1651378;-1.140707038;-0.981787994;0.033284893
98;196;0.187777744;311.2622096;-1.143203264;-0.981843667;0.024980263
99;198;0.191965874;318.2044948;-1.146050731;-0.981898788;0.024656488
100;200;0.196452262;325.6411745;-1.148420598;-0.981919775;0.023697705
101;202;0.197899208;328.0396475;-1.149880522;-0.981894596;0.024405808
